NamaSPPG,Alamat,Tanggal Opsnal,Provinsi,wilayah,Nama Kepala,Nama Yayasan,Alamat_lengkap
SPPG Sukabumi Cibadak Karangtengah 2,"Perum Griya Karang Asri 1 Blok A No. 3 RT. 004 RW. 005
Desa Karangtengah
Kecamatan Cibadak
Kabupaten Sukabumi
Provinsi Jawa Barat",03-09-2025,JAWA BARAT,Wilayah II,Rhamdaniansyah,,"Sukabumi Cibadak Karangtengah 2 Perum Griya Karang Asri 1 Blok A No. 3 RT. 004 RW. 005
Desa Karangtengah
Kecamatan Cibadak
Kabupaten Sukabumi
Provinsi Jawa Barat JAWA BARAT"
SPPG Sukabumi Ciracap Purwasedar 2,"Jl. R. Natadipura Kp.Tajur Rt. 028 Rw. 006 Desa Purwasedar Kec. Ciracap Kab. Sukabumi, Purwasedar, Ciracap, Kab. Sukabumi, Jawa Barat",27-08-2025,JAWA BARAT,Wilayah II,Gilang Rama Maulana,,"Sukabumi Ciracap Purwasedar 2 Jl. R. Natadipura Kp.Tajur Rt. 028 Rw. 006 Desa Purwasedar Kec. Ciracap Kab. Sukabumi, Purwasedar, Ciracap, Kab. Sukabumi, Jawa Barat JAWA BARAT"
SPPG Sukabumi Cisaat Sukasari,Kampung Jambatan PDAM RT 033 RW 004 Desa Sukasari Kecamatan Cisaat Kabupaten Sukabumi Provinsi Jawa Barat ,18-08-2025,JAWA BARAT,Wilayah II,Anan Santika Abdul Aziz,,Sukabumi Cisaat Sukasari Kampung Jambatan PDAM RT 033 RW 004 Desa Sukasari Kecamatan Cisaat Kabupaten Sukabumi Provinsi Jawa Barat  JAWA BARAT
SPPG Sukabumi Surade Buniwangi,"`SPPG Yayasan Gunung Gede Bersahaja Kampung Sukamekar, RT 013/RW 004, Desa Buniwangi, Kecamatan Surade, Kabupaten Sukabumi, Provinsi Jawa Barat`",31-07-2025,JAWA BARAT,Wilayah II,Aldi Apriana Siswandi,,"Sukabumi Surade Buniwangi ` Yayasan Gunung Gede Bersahaja Kampung Sukamekar, RT 013/RW 004, Desa Buniwangi, Kecamatan Surade, Kabupaten Sukabumi, Provinsi Jawa Barat` JAWA BARAT"
SPPG Sukoharjo Grogol Parangjoro 2,"Kampung Jebagan Rt.002 Rw.009, Dusun Sawah, Desa Parangjoro, Kecamatan Grogol, Kabupaten Sukoharjo, Jawa Tengah 57552",03-10-2025,JAWA TENGAH,Wilayah II,Achmad Fadhli Rezqiawan,,"Sukoharjo Grogol Parangjoro 2 Kampung Jebagan Rt.002 Rw.009, Dusun Sawah, Desa Parangjoro, Kecamatan Grogol, Kabupaten Sukoharjo, Jawa Tengah 57552 JAWA TENGAH"
SPPG Sukoharjo Polokarto Pranan,"Jl Raya Pranan - Ngombakan, Dk Terpengan, RT 1. / RW 3, Ds Pranan, Kec Polokarto, Kab. Sukoharjo",04-08-2025,JAWA TENGAH,Wilayah II,BANGKIT SETIAWAN ,,"Sukoharjo Polokarto Pranan Jl Raya Pranan - Ngombakan, Dk Terpengan, RT 1. / RW 3, Ds Pranan, Kec Polokarto, Kab. Sukoharjo JAWA TENGAH"
SPPG Sumbawa Tarano Labuhan Bontong 2,"Dusun Tiu Sangat Rt/Rw 014/005, Labuhan Bontong, Tarano, Kabupaten Sumbawa, Nusa Tenggara Barat",07-09-2025,NUSA TENGGARA BARAT,Wilayah II,Aditya Pria Setyady S.H,,"Sumbawa Tarano Labuhan Bontong 2 Dusun Tiu Sangat Rt/Rw 014/005, Labuhan Bontong, Tarano, Kabupaten Sumbawa, Nusa Tenggara Barat NUSA TENGGARA BARAT"
SPPG Sumedang Pamulihan Pamulihan 2,"Dusun Cimasuk Rt/Rw:01.Rw.07, Pamulihan, Kecamatan Pamulihan, Kabupaten Sumedang, Jawa Barat ",03-10-2025,JAWA BARAT,Wilayah II,Jeni Hidayat,,"Sumedang Pamulihan Pamulihan 2 Dusun Cimasuk Rt/Rw:01.Rw.07, Pamulihan, Kecamatan Pamulihan, Kabupaten Sumedang, Jawa Barat  JAWA BARAT"
SPPG Sumedang Tanjungkerta Cipanas,Dusun Sudiplak RT 002 RW 007 Desa Cipanas Kecamatan Tanjungkerta Kabupaten Sumedang Jawa Barat,18-09-2025,JAWA BARAT,Wilayah II,Indra Septian Efendi,,Sumedang Tanjungkerta Cipanas Dusun Sudiplak RT 002 RW 007 Desa Cipanas Kecamatan Tanjungkerta Kabupaten Sumedang Jawa Barat JAWA BARAT
SPPG Sumenep Arjasa Kalinganyar,"Jl. Bujutan, Kalinganyar, Kalianyar, Kec. Arjasa, Kabupaten Sumenep, Jawa Timur ",11-10-2025,JAWA TIMUR,Wilayah II,Zakia Aprilia,,"Sumenep Arjasa Kalinganyar Jl. Bujutan, Kalinganyar, Kalianyar, Kec. Arjasa, Kabupaten Sumenep, Jawa Timur  JAWA TIMUR"
SPPG Sumenep Lenteng Ellak Daya,"Dusun Kombung Timur, Rt/Rw 011/005, Desa Ellak Daya, Kecamatan Lentang, Kabupaten Sumenep, Jawa Timur",10-10-2025,JAWA TIMUR,Wilayah II,Al - Hobu Ibnu Hubi,,"Sumenep Lenteng Ellak Daya Dusun Kombung Timur, Rt/Rw 011/005, Desa Ellak Daya, Kecamatan Lentang, Kabupaten Sumenep, Jawa Timur JAWA TIMUR"
SPPG Sumenep Pragaan Sentol Laok,"Dusun Lembanah Desa Sentol Laok Kecamatan Pragaan Kabupaten Sumenep, Sentol Laok, Pragaan, Kab. Sumenep, Jawa Timur",27-09-2025,JAWA TIMUR,Wilayah II,Ahmad Junaidi,,"Sumenep Pragaan Sentol Laok Dusun Lembanah Desa Sentol Laok Kecamatan Pragaan Kabupaten Sumenep, Sentol Laok, Pragaan, Kab. Sumenep, Jawa Timur JAWA TIMUR"
SPPG Supiori Supiori Timur Sorendidori,"Jl. Raya Sorendiweri, Kampung Sorendidori",26-08-2025,P A P U A,Wilayah III,Agustina Infaindan,,"Supiori Supiori Timur Sorendidori Jl. Raya Sorendiweri, Kampung Sorendidori P A P U A"
SPPG Takalar Mangarabombang Mangadu,Jalan poros takalar-jeneponto lingkungan Tamalate kelurahan mangadu kecamatan Mangarabombang ,25-02-2025,SULAWESI SELATAN,Wilayah III,Uslilatullatifa A.,Yayasan Cahaya Langowan Nusantara,Takalar Mangarabombang Mangadu Jalan poros takalar-jeneponto lingkungan Tamalate kelurahan mangadu kecamatan Mangarabombang  SULAWESI SELATAN
SPPG Takalar Sanrobone Paddinging,"Dusun Paddinging 2, Desa Paddinging, Kecamatan Sanrobone, Kabupaten Takalar, Provinsi Sulawesi Selatan, Paddinging, Sanrobone, Kab. Takalar, Sulawesi Selatan",28-09-2025,SULAWESI SELATAN,Wilayah III,Muh. Ridwan Rahman,,"Takalar Sanrobone Paddinging Dusun Paddinging 2, Desa Paddinging, Kecamatan Sanrobone, Kabupaten Takalar, Provinsi Sulawesi Selatan, Paddinging, Sanrobone, Kab. Takalar, Sulawesi Selatan SULAWESI SELATAN"
SPPG Tanah Datar Lima Kaum Baringin,"Jl. Moh.  Yamin, Jorong Bukik Gombak, Nagari Baringin, Kecamatan Lima Kaum, Kabupaten Tanah Datar",17-02-2025,SUMATERA BARAT,Wilayah I,Yoga Hardiana,Yayasan Cahaya Thoyibah Abadi,"Tanah Datar Lima Kaum Baringin Jl. Moh.  Yamin, Jorong Bukik Gombak, Nagari Baringin, Kecamatan Lima Kaum, Kabupaten Tanah Datar SUMATERA BARAT"
SPPG Tanah Datar Lintau Buo Utara Lubuak Jantan,"jorong kota No.120, Nagari Tapi Selo, Kecamatan Lintau Buo Utara, Kabupaten Tanah Datar,&amp;amp;nbsp;Sumatera&amp;amp;nbsp;Barat",19-08-2025,SUMATERA BARAT,Wilayah I,An Unggul Satria,,"Tanah Datar Lintau Buo Utara Lubuak Jantan jorong kota No.120, Nagari Tapi Selo, Kecamatan Lintau Buo Utara, Kabupaten Tanah Datar,&amp;amp;nbsp;Sumatera&amp;amp;nbsp;Barat SUMATERA BARAT"
SPPG Tanah Datar Sungayang Minang Kabau,"Jorong Minang Jaya, Nagari Minangkabau, Kecamatan Sungayang, Kabupaten Tanah Datar, Provinsi Sumatra Barat",27-08-2025,SUMATERA BARAT,Wilayah I,Aulia Rizki Ananda,,"Tanah Datar Sungayang Minang Kabau Jorong Minang Jaya, Nagari Minangkabau, Kecamatan Sungayang, Kabupaten Tanah Datar, Provinsi Sumatra Barat SUMATERA BARAT"
SPPG Tanggamus Semaka Tugu Papak,"Jalan Taman Nasional Bukit Barisan Selatan, Pekon Tugu Papak, Kecamatan Semaka, Kabupaten Tanggamus, Provinsi Lampung",11-08-2025,LAMPUNG,Wilayah I,Nur Dewi Rachmawati,,"Tanggamus Semaka Tugu Papak Jalan Taman Nasional Bukit Barisan Selatan, Pekon Tugu Papak, Kecamatan Semaka, Kabupaten Tanggamus, Provinsi Lampung LAMPUNG"
SPPG Tanggamus Sumberejo Argomulyo,"Jl. Raya Pasar Sumberejo, Desa. Argomulyo, Rt.002/001 Kecamatan. Suberejo, Kab. Tanggamus Lampung",27-09-2025,LAMPUNG,Wilayah I,Wanda Silvia Afriza,,"Tanggamus Sumberejo Argomulyo Jl. Raya Pasar Sumberejo, Desa. Argomulyo, Rt.002/001 Kecamatan. Suberejo, Kab. Tanggamus Lampung LAMPUNG"
SPPG Tanggamus Talang Padang Talang Sepuh,"Jl. Raya Talang Sepuh, Dusun Sidodadi Pekon Talang Sepuh  Kec. Talang Padang, Kabupaten Tanggamus, Lampung",08-09-2025,LAMPUNG,Wilayah I,Amirul Rama Sanjaya,,"Tanggamus Talang Padang Talang Sepuh Jl. Raya Talang Sepuh, Dusun Sidodadi Pekon Talang Sepuh  Kec. Talang Padang, Kabupaten Tanggamus, Lampung LAMPUNG"
SPPG Tanggamus Ulu Belu Ulu Semong,"Jl. Raya Ulu Semong / Jl. Lintas Suwoh Desa. Ulu Semong, Rt.001 Rw.001, Dusun Semong Induk Kec. Ulu Belu, Kab. Tanggamus Lampung",30-09-2025,LAMPUNG,Wilayah I,Suhendra,,"Tanggamus Ulu Belu Ulu Semong Jl. Raya Ulu Semong / Jl. Lintas Suwoh Desa. Ulu Semong, Rt.001 Rw.001, Dusun Semong Induk Kec. Ulu Belu, Kab. Tanggamus Lampung LAMPUNG"
SPPG Tapin Lokpaikat Binderang,"Pondok Indah Permata Dewi Blok F No. 007 RT. 005 RW. 003 Desa Binderang, Kec. Lokpaikat, Kab. Tapin Kalimantan Selatan",18-08-2025,KALIMANTAN SELATAN,Wilayah III,Dimas Prayogi,,"Tapin Lokpaikat Binderang Pondok Indah Permata Dewi Blok F No. 007 RT. 005 RW. 003 Desa Binderang, Kec. Lokpaikat, Kab. Tapin Kalimantan Selatan KALIMANTAN SELATAN"
SPPG Tasikmalaya Pagerageung Puteran,"Dusun Puteran Kaler Rt 004 Rw 002 Desa Puteran Kecamatan Pagerageung Kabupaten Tasikmalaya Provinsi Jawa Barat Kode Pos 46158, Puteran, Pagerageung, Kab. Tasikmalaya, Jawa Barat",25-08-2025,JAWA BARAT,Wilayah II,Denthanika Shena Bagia,,"Tasikmalaya Pagerageung Puteran Dusun Puteran Kaler Rt 004 Rw 002 Desa Puteran Kecamatan Pagerageung Kabupaten Tasikmalaya Provinsi Jawa Barat Kode Pos 46158, Puteran, Pagerageung, Kab. Tasikmalaya, Jawa Barat JAWA BARAT"
SPPG Tegal Lebaksiu Lebaksiu Lor,"Jl. Kesuben, Wakutumpul, Lebaksiu Lor, Kec. Lebaksiu, Kabupaten Tegal, Jawa Tengah, Lebaksiu Lor, Lebaksiu, Kab. Tegal, Jawa Tengah",10-09-2025,JAWA TENGAH,Wilayah II,Zihni Hashfi Razaq,,"Tegal Lebaksiu Lebaksiu Lor Jl. Kesuben, Wakutumpul, Lebaksiu Lor, Kec. Lebaksiu, Kabupaten Tegal, Jawa Tengah, Lebaksiu Lor, Lebaksiu, Kab. Tegal, Jawa Tengah JAWA TENGAH"
SPPG Teluk Wondama Wasior Iriati,"Jalan Poros Wasior-Iriati, Iriati, Distrik Wasior, Kabupaten Teluk Wondama",11-08-2025,PAPUA BARAT,Wilayah III,Pricilia Felmince Mita Trisanta Borlak,,"Teluk Wondama Wasior Iriati Jalan Poros Wasior-Iriati, Iriati, Distrik Wasior, Kabupaten Teluk Wondama PAPUA BARAT"
SPPG Temanggung Bejen Jlegong,"Dusun Putat Rt 004 Rw 003 Desa Jlegong Kec. Bejen Kab. Temanggung, Jlegong, Bejen, Kab. Temanggung, Jawa Tengah",27-08-2025,JAWA TENGAH,Wilayah II,Muhammad Rafi Hidayatullah,,"Temanggung Bejen Jlegong Dusun Putat Rt 004 Rw 003 Desa Jlegong Kec. Bejen Kab. Temanggung, Jlegong, Bejen, Kab. Temanggung, Jawa Tengah JAWA TENGAH"
SPPG Temanggung Bulu Danupayan,"Jl. Bulu&amp;amp;amp;amp;amp;amp;amp;amp;ndash;Parakan Km 05, Sawah, Dusun Danupayan, Kecamatan Bulu, Kabupaten Temanggung, Provinsi Jawa Tengah",30-08-2025,JAWA TENGAH,Wilayah II,Wisnu Aji Pangestu,,"Temanggung Bulu Danupayan Jl. Bulu&amp;amp;amp;amp;amp;amp;amp;amp;ndash;Parakan Km 05, Sawah, Dusun Danupayan, Kecamatan Bulu, Kabupaten Temanggung, Provinsi Jawa Tengah JAWA TENGAH"
SPPG Temanggung Bulu Tegalurung 1,"Jl. Tegalurung - Gondosuli, TEGALURUNG, BULU, KAB. TEMANGGUNG, JAWA TENGAH",23-06-2025,JAWA TENGAH,Wilayah II,Sigit Budi Prasetyo,Yayasan Pendidikan Nasional Laa Roiba,"Temanggung Bulu Tegalurung 1 Jl. Tegalurung - Gondosuli, TEGALURUNG, BULU, KAB. TEMANGGUNG, JAWA TENGAH JAWA TENGAH"
SPPG Temanggung Jumo Kertosari,"Desa Kertosari, Desa Jurang, RT 004 / RW 005, Kecamatan Jumo, Kabupaten Temanggung, Provinsi Jawa Tengah ",23-08-2025,JAWA TENGAH,Wilayah II,Muhammad Romi Dian Sukma,,"Temanggung Jumo Kertosari Desa Kertosari, Desa Jurang, RT 004 / RW 005, Kecamatan Jumo, Kabupaten Temanggung, Provinsi Jawa Tengah  JAWA TENGAH"
SPPG Temanggung Kandangan Malebo,"Ketuwon Wetan, RT 002 RW 002, Desa Malebo, Kecamatan Kandangan, Kabupaten Temanggung, Jawa Tengah",21-08-2025,JAWA TENGAH,Wilayah II,Dian Wijayanti Solechah,,"Temanggung Kandangan Malebo Ketuwon Wetan, RT 002 RW 002, Desa Malebo, Kecamatan Kandangan, Kabupaten Temanggung, Jawa Tengah JAWA TENGAH"
SPPG Temanggung Kedu Ngadimulyo,"Dusun Setrobayan RT 01 RW 02, Desa Ngadimulyo, Kecamatan Kedu, Kabupaten Temanggung,&amp;amp;amp;amp;amp;amp;nbsp;Jawa&amp;amp;amp;amp;amp;amp;nbsp;Tengah",28-07-2025,JAWA TENGAH,Wilayah II,Tri Adhi Prakoso,Yayasan Mitra Wahid,"Temanggung Kedu Ngadimulyo Dusun Setrobayan RT 01 RW 02, Desa Ngadimulyo, Kecamatan Kedu, Kabupaten Temanggung,&amp;amp;amp;amp;amp;amp;nbsp;Jawa&amp;amp;amp;amp;amp;amp;nbsp;Tengah JAWA TENGAH"
SPPG Temanggung Kledung Kalirejo,"Tanduran, Caturanom, Kec. Kledung, Kabupaten Temanggung, Jawa Tengah, KALIREJO, KLEDUNG, KAB. TEMANGGUNG, JAWA TENGAH",04-08-2025,JAWA TENGAH,Wilayah II,Sigit Prayogi Pitulung,,"Temanggung Kledung Kalirejo Tanduran, Caturanom, Kec. Kledung, Kabupaten Temanggung, Jawa Tengah, KALIREJO, KLEDUNG, KAB. TEMANGGUNG, JAWA TENGAH JAWA TENGAH"
SPPG Toba Balige Lumban Pea,"Jalan Pasar Melintang, Desa Lumban Pea Timur, Kecamatan Balige, Kabupaten Toba, Sumatera Utara",11-08-2025,SUMATERA UTARA,Wilayah I,Daniel Sianipar,,"Toba Balige Lumban Pea Jalan Pasar Melintang, Desa Lumban Pea Timur, Kecamatan Balige, Kabupaten Toba, Sumatera Utara SUMATERA UTARA"
SPPG Toba Bonatua Lunasi Sinar Sabungan,"Jl. Lintas Sumatera, Lumban Lobu, Kec. Bonatua Lunasi, Kab. Toba, Sumatera Utara",10-10-2025,SUMATERA UTARA,Wilayah I,Hanif Ray Sirait,,"Toba Bonatua Lunasi Sinar Sabungan Jl. Lintas Sumatera, Lumban Lobu, Kec. Bonatua Lunasi, Kab. Toba, Sumatera Utara SUMATERA UTARA"
SPPG Toba Lumban Julu Aek Natolu Jaya,"Jl. Lintas Sumatera, Desa Aek Natolu Jaya, Kecamatan Lumban Julu, Kabupaten Tapanuli Utara, Sumatera Utara",09-10-2025,SUMATERA UTARA,Wilayah I,Muhammad Zulkifli Butarbutar,,"Toba Lumban Julu Aek Natolu Jaya Jl. Lintas Sumatera, Desa Aek Natolu Jaya, Kecamatan Lumban Julu, Kabupaten Tapanuli Utara, Sumatera Utara SUMATERA UTARA"
SPPG Toba Porsea Parparean IV,"Gang Madrasah, Huta Dolok, Desa Parparean IV, Kecamatan Porsea, Kabupaten Toba, Provinsi Sumatera Utara",05-09-2025,SUMATERA UTARA,Wilayah I,Farhan Ridwan Rajagukguk S.Kom.,,"Toba Porsea Parparean IV Gang Madrasah, Huta Dolok, Desa Parparean IV, Kecamatan Porsea, Kabupaten Toba, Provinsi Sumatera Utara SUMATERA UTARA"
SPPG Toba Sigumpar Situa-tua,"Jl. Lintas Sumatera No.17 Kelurahan Situa Tua Kecamatan Sigumpar, Kabupaten Toba, Sumatera Utara",30-09-2025,SUMATERA UTARA,Wilayah I,Josua Jonathan Siahaan,,"Toba Sigumpar Situa-tua Jl. Lintas Sumatera No.17 Kelurahan Situa Tua Kecamatan Sigumpar, Kabupaten Toba, Sumatera Utara SUMATERA UTARA"
SPPG Toba Uluan Lumban Holbung,"Jl. Lutere Dusun II, Desa Lumban Holbung, Kecamatan Uluan, Kabupaten Toba, Sumatera Utara",10-10-2025,SUMATERA UTARA,Wilayah I,Joshua Koko Sarasi Manurung,,"Toba Uluan Lumban Holbung Jl. Lutere Dusun II, Desa Lumban Holbung, Kecamatan Uluan, Kabupaten Toba, Sumatera Utara SUMATERA UTARA"
SPPG Trenggalek Bendungan Srabah,"Jl. Trenggalek Bendungan, Rt.03/Rw.01, Suren, Srabah, Kec. Bendungan, Kab. Trenggalek, Jawa Timur",10-10-2025,JAWA TIMUR,Wilayah II,David Fernando,,"Trenggalek Bendungan Srabah Jl. Trenggalek Bendungan, Rt.03/Rw.01, Suren, Srabah, Kec. Bendungan, Kab. Trenggalek, Jawa Timur JAWA TIMUR"
SPPG Trenggalek Gandusari Karanganyar,"Dusun Jedung, Rt 06 Rw 02 Desa Karanganyar , Kecamatan Gandusari Kabupaten Trenggalek ,",28-08-2025,JAWA TIMUR,Wilayah II,Fihdha Nurul Azizah,,"Trenggalek Gandusari Karanganyar Dusun Jedung, Rt 06 Rw 02 Desa Karanganyar , Kecamatan Gandusari Kabupaten Trenggalek , JAWA TIMUR"
SPPG Trenggalek Karangan Karangan,"Rt.020/Rw.005, Dusun Cetok, Desa Karangan, Kecamatan Karangan, Kabupaten Trenggalek, Provinsi Jawa Timur",20-09-2025,JAWA TIMUR,Wilayah II,Farhan Akmal Fauzi,,"Trenggalek Karangan Karangan Rt.020/Rw.005, Dusun Cetok, Desa Karangan, Kecamatan Karangan, Kabupaten Trenggalek, Provinsi Jawa Timur JAWA TIMUR"
SPPG Trenggalek Munjungan Masaran,"RT 1O RW 02 Dusun Nayu, Desa Karangturi, Kecamatan Munjungan, Kabupaten Trenggalek Provinsi Jawa Timur",06-09-2025,JAWA TIMUR,Wilayah II,Yunis Purwanti,,"Trenggalek Munjungan Masaran RT 1O RW 02 Dusun Nayu, Desa Karangturi, Kecamatan Munjungan, Kabupaten Trenggalek Provinsi Jawa Timur JAWA TIMUR"
SPPG Trenggalek Trenggalek Karangsoko 2,"Rt 9 Rw 2 Dusun Karanggayam Desa Karangsuko Kec. Trenggalek, Kab. Trenggalek, Jawa Timur",01-09-2025,JAWA TIMUR,Wilayah II,Hafidh Yanuar Pangestu,,"Trenggalek Trenggalek Karangsoko 2 Rt 9 Rw 2 Dusun Karanggayam Desa Karangsuko Kec. Trenggalek, Kab. Trenggalek, Jawa Timur JAWA TIMUR"
SPPG Trenggalek Tugu Tumpuk,"Jalan Tumpuk-Pule RT 011
RW 004, Desa Tumpuk,
Kecamatan Tugu,
Kabupaten Trenggalek,
Provinsi Jawa Timur",31-07-2025,JAWA TIMUR,Wilayah II,Muhammad Surya Adam,,"Trenggalek Tugu Tumpuk Jalan Tumpuk-Pule RT 011
RW 004, Desa Tumpuk,
Kecamatan Tugu,
Kabupaten Trenggalek,
Provinsi Jawa Timur JAWA TIMUR"
SPPG Tuban Rengel Rengel,"Jl. Raya Rengel No 271 Dusun Purboyo Mayang Sekar Desa Rengel, Rengel, Kabupaten Tuban, Jawa Timur",20-09-2025,JAWA TIMUR,Wilayah II,Cinta Damayanti,,"Tuban Rengel Rengel Jl. Raya Rengel No 271 Dusun Purboyo Mayang Sekar Desa Rengel, Rengel, Kabupaten Tuban, Jawa Timur JAWA TIMUR"
SPPG Tuban Singgahan Lajo Kidul 2,"Jalan. Kyai Haji. Ageng Sholeh, Krajan, Lajo Kidul, Singgahan, Kabupaten. Tuban, Jawa Timur",27-08-2025,JAWA TIMUR,Wilayah II,Achmad Iqbal Afizal,,"Tuban Singgahan Lajo Kidul 2 Jalan. Kyai Haji. Ageng Sholeh, Krajan, Lajo Kidul, Singgahan, Kabupaten. Tuban, Jawa Timur JAWA TIMUR"
SPPG Tulang Bawang Banjar Margo Agung Dalam 2,"Kampung Agung Dalem RT 002/RW 005 Nomor 105,  Kelurahan Agung Dalem,  Kecamatan Banjar Margo,  Kabupaten Tulang Bawang,  Provinsi Lampung",18-08-2025,LAMPUNG,Wilayah I,Willy Maulana ,,"Tulang Bawang Banjar Margo Agung Dalam 2 Kampung Agung Dalem RT 002/RW 005 Nomor 105,  Kelurahan Agung Dalem,  Kecamatan Banjar Margo,  Kabupaten Tulang Bawang,  Provinsi Lampung LAMPUNG"
SPPG Tulang Bawang Banjar Margo Purwa Jaya,"Desa Purwajaya Jln, Soekarno Hatta Rt/Rw 003/003 Kec. Banjar Margo, Kab. Tulang Bawang, Lampung.",18-08-2025,LAMPUNG,Wilayah I,Sukma Setiawan ,,"Tulang Bawang Banjar Margo Purwa Jaya Desa Purwajaya Jln, Soekarno Hatta Rt/Rw 003/003 Kec. Banjar Margo, Kab. Tulang Bawang, Lampung. LAMPUNG"
SPPG Tulang Bawang Barat Gunung Agung Suka Jaya,"Jl. Seno, Suka Jaya, Gunung Agung, West Tulang Bawang Regency, Lampung 34684, Suka Jaya, Gunung Agung, Kab. Tulang Bawang Barat, Lampung",27-08-2025,LAMPUNG,Wilayah I,Izzudin Azis Husein,,"Tulang Bawang Barat Gunung Agung Suka Jaya Jl. Seno, Suka Jaya, Gunung Agung, West Tulang Bawang Regency, Lampung 34684, Suka Jaya, Gunung Agung, Kab. Tulang Bawang Barat, Lampung LAMPUNG"
SPPG Tulang Bawang Barat Tulang Bawang Tengah Panaragan Jaya,"Jl. Raya Panaragan Jaya - Pulung Kencana, Panaragan Jaya, Kec. Tulang Bawang Tengah, Kab. Tulang Bawang Barat, Lampung 34693, PANARAGAN JAYA , TULANG BAWANG TENGAH, KAB. TULANG BAWANG BARAT, LAMPUNG",19-08-2025,LAMPUNG,Wilayah I,Azis Aji Pangestu,,"Tulang Bawang Barat Tulang Bawang Tengah Panaragan Jaya Jl. Raya Panaragan Jaya - Pulung Kencana, Panaragan Jaya, Kec. Tulang Bawang Tengah, Kab. Tulang Bawang Barat, Lampung 34693, PANARAGAN JAYA , TULANG BAWANG TENGAH, KAB. TULANG BAWANG BARAT, LAMPUNG LAMPUNG"
SPPG Tulang Bawang Barat Tumijajar Daya Asri 2,Jl. Raya Tirta Makmur Desa Daya Asri Kecamatan Tumijajar Kabupaten Tubaba,08-09-2025,LAMPUNG,Wilayah I,AAN SUTRISNO,,Tulang Bawang Barat Tumijajar Daya Asri 2 Jl. Raya Tirta Makmur Desa Daya Asri Kecamatan Tumijajar Kabupaten Tubaba LAMPUNG
SPPG Tulang Bawang Penawar Tama Tri Rejo Mulyo,"Desa Tri Rejo Mulyo Kecamatan Penawar Tama Kabupaten Tulang Bawang Provinsi Lampung, TRI REJO MULYO, PENAWAR TAMA, KAB. TULANG BAWANG, LAMPUNG",21-07-2025,LAMPUNG,Wilayah I,Rosintha,Yayasan Siger Anugerah Nusantara Abadi,"Tulang Bawang Penawar Tama Tri Rejo Mulyo Desa Tri Rejo Mulyo Kecamatan Penawar Tama Kabupaten Tulang Bawang Provinsi Lampung, TRI REJO MULYO, PENAWAR TAMA, KAB. TULANG BAWANG, LAMPUNG LAMPUNG"
SPPG Tulungagung Campurdarat Pojok,"RT/RW 02/03, Dusun Gedangsewu, Desa Pojok, Kecamatan Campurdarat, Kabupaten Tulungagung",05-05-2025,JAWA TIMUR,Wilayah II,Mohamad Fajar Syahroni,Yayasan Sakinatul Ummat,"Tulungagung Campurdarat Pojok RT/RW 02/03, Dusun Gedangsewu, Desa Pojok, Kecamatan Campurdarat, Kabupaten Tulungagung JAWA TIMUR"
SPPG Tulungagung Kauman Jatimulyo,"Jl. Raya Jatimulyo Desa Jatimulyo Kauman, Jatimulyo, Kauman, Kabupaten Tulungagung, Jawa Timur",15-09-2025,JAWA TIMUR,Wilayah II,Pandu Septiyan Tutuko,,"Tulungagung Kauman Jatimulyo Jl. Raya Jatimulyo Desa Jatimulyo Kauman, Jatimulyo, Kauman, Kabupaten Tulungagung, Jawa Timur JAWA TIMUR"
SPPG Tulungagung Ngantru Pucung Lor,"Dusun Kali Pakis Rt 02 Rw 03, Pucung Lor, Kecamatan Ngantru, Kabupaten Tulungagung, Jawa Timur",27-09-2025,JAWA TIMUR,Wilayah II,Ahmad Ridzwan Ali,,"Tulungagung Ngantru Pucung Lor Dusun Kali Pakis Rt 02 Rw 03, Pucung Lor, Kecamatan Ngantru, Kabupaten Tulungagung, Jawa Timur JAWA TIMUR"
SPPG Tulungagung Rejotangan Ariyojeding,"Jalan Aryojeding, Dusun Gluduk, Desa Aryojeding RT 003/RW 007, Kecamatan Rejotangan, Kabupaten Tulungagung, Provinsi Jawa Timur",27-08-2025,JAWA TIMUR,Wilayah II,Salma Auliya Fadilla Aimi,,"Tulungagung Rejotangan Ariyojeding Jalan Aryojeding, Dusun Gluduk, Desa Aryojeding RT 003/RW 007, Kecamatan Rejotangan, Kabupaten Tulungagung, Provinsi Jawa Timur JAWA TIMUR"
SPPG Tulungagung Rejotangan Sumberagung,"Dusun Sumberagung Rt. 03 Rw 10, Desa Sumberagung, Kec. Rejotangan, Kab. Tulungagung, Jawa Timur",08-10-2025,JAWA TIMUR,Wilayah II,Ahmad Faqih Hidayatulloh,,"Tulungagung Rejotangan Sumberagung Dusun Sumberagung Rt. 03 Rw 10, Desa Sumberagung, Kec. Rejotangan, Kab. Tulungagung, Jawa Timur JAWA TIMUR"
SPPG Wajo Sabangparu Sompe,"Jl. Poros Sengkang Soppeng RT 001/RW 001, Desa Sompe, Kec. Sabangparu, Kab. Wajo, Provinsi Sulawesi Selatan",11-09-2025,SULAWESI SELATAN,Wilayah III,Agusran Jaya,,"Wajo Sabangparu Sompe Jl. Poros Sengkang Soppeng RT 001/RW 001, Desa Sompe, Kec. Sabangparu, Kab. Wajo, Provinsi Sulawesi Selatan SULAWESI SELATAN"
